内容,分词,分词文本,情感标签,情感置信度
有问题，加和之后不还是有关x和y的线性函数吗,"['问题', '之后', '线性', '函数']",问题 之后 线性 函数,negative,0.8178494572639465
你们难道听不懂？？？？？,"['难道', '听不懂']",难道 听不懂,negative,0.8813417553901672
根据特征来定义？,"['特征', '定义']",特征 定义,negative,0.792515218257904
算力吞金兽,"['算力', '吞金']",算力 吞金,positive,0.7279067039489746
真的会实现,"['真的', '实现']",真的 实现,positive,0.804134726524353
就是因为要链式法则反向回去，最方便的导数的原函数就是e的x次方，所以你会在损失函数中看到大量使用e的x次方,"['链式法则', '反向', '回去', '方便', '导数', '原函数', '次方', '损失', '函数', '看到', '大量', '使用', '次方']",链式法则 反向 回去 方便 导数 原函数 次方 损失 函数 看到 大量 使用 次方,positive,0.9891929030418396
admm交替优化,"['admm', '交替', '优化']",admm 交替 优化,positive,0.9574166536331177
凸优化问题来啦,"['优化', '问题']",优化 问题,negative,0.6216002106666565
能找到局部最优，不一定是整体最优,"['找到', '局部', '最优', '一定', '整体', '最优']",找到 局部 最优 一定 整体 最优,positive,0.9526009559631348
现在的高中不交导数了,"['现在', '高中', '导数']",现在 高中 导数,positive,0.8817224502563477
好棒的动画,['动画'],动画,positive,0.9937400817871094
早期吹牛逼时刻,"['早期', '吹牛', '时刻']",早期 吹牛 时刻,positive,0.9333012700080872
什么是快乐星球,"['快乐', '星球']",快乐 星球,negative,0.6295071840286255
喂，石头,['石头'],石头,negative,0.8419188261032104
笑死...字幕一下子没绷住,"['字幕', '一下子', '绷住']",字幕 一下子 绷住,negative,0.8451313972473145
但如果按照这个逻辑，只要给它绝对正确的信息，它应该能完成演绎推理吧,"['逻辑', '绝对', '正确', '信息', '应该', '完成', '演绎推理']",逻辑 绝对 正确 信息 应该 完成 演绎推理,positive,0.9624302983283997
我也感觉没那么多,['感觉'],感觉,positive,0.6017313599586487
根本没人知道意识的本质是什么,"['根本', '知道', '意识', '本质']",根本 知道 意识 本质,negative,0.8571667075157166
难道你我听到的话，所相信的东西，就是对的吗,"['难道', '听到', '相信', '东西']",难道 听到 相信 东西,negative,0.840971827507019
谁说的，这就是文学啊！,['文学'],文学,positive,0.9090498089790344
比战争花的少,['战争'],战争,positive,0.8096798658370972
有没有可能分而治之，不用那么多算力，不同问题不同学科,"['有没有', '可能', '分而治之', '不用', '多算力', '不同', '问题', '不同', '学科']",有没有 可能 分而治之 不用 多算力 不同 问题 不同 学科,positive,0.9424514770507812
前面那个教授熬白了头才翻身,"['前面', '教授', '熬白', '翻身']",前面 教授 熬白 翻身,positive,0.7517976760864258
说明发展前景还大得很，中途研究太费时间了,"['说明', '发展前景', '还大得', '中途', '研究', '费时间']",说明 发展前景 还大得 中途 研究 费时间,negative,0.6153103709220886
一口气90分钟憋死了,"['一口气', '分钟', '憋死']",一口气 分钟 憋死,negative,0.8867694735527039
关联性高,['关联性'],关联性,positive,0.9699519276618958
还是得练,['得练'],得练,positive,0.837830126285553
这哥们说相声？,"['哥们', '相声']",哥们 相声,positive,0.5959884524345398
这不就是余项嘛？,['余项'],余项,negative,0.7766967415809631
熵增是正向,"['增是', '正向']",增是 正向,positive,0.9576355814933777
二维的高斯分布更是重量级,"['二维', '高斯分布', '更是', '重量级']",二维 高斯分布 更是 重量级,positive,0.9452332854270935
统计学来喽,['统计学'],统计学,positive,0.94832444190979
微分的定义,"['微分', '定义']",微分 定义,positive,0.9677591323852539
这一段算是懂的都懂，不懂的看了多半也不懂，或者模糊,"['一段', '算是', '多半', '模糊']",一段 算是 多半 模糊,positive,0.612447202205658
梦回高数，好多高数知识,"['梦回', '高数', '好多', '高数', '知识']",梦回 高数 好多 高数 知识,positive,0.9891142845153809
世界就是一个巨大的熔炉,"['世界', '巨大', '熔炉']",世界 巨大 熔炉,positive,0.9823565483093262
我的天哪,[],,negative,0.853909432888031
大模型就是下界，所以虚拟世界无穷多层,"['模型', '下界', '虚拟世界', '无穷', '多层']",模型 下界 虚拟世界 无穷 多层,positive,0.9828739762306213
其他专业没学过不能看科普吗？？前面的,"['专业', '没学过', '不能', '科普', '前面']",专业 没学过 不能 科普 前面,positive,0.5999882817268372
不是，你前面的视频说过,"['不是', '前面', '视频']",不是 前面 视频,negative,0.8721001744270325
高中理科数学学到的一点皮毛,"['高中', '理科', '数学', '学到', '一点', '皮毛']",高中 理科 数学 学到 一点 皮毛,negative,0.6499382257461548
卷积神经?,"['卷积', '神经']",卷积 神经,positive,0.8313065767288208
厉害厉害,"['厉害', '厉害']",厉害 厉害,positive,0.9141035676002502
机器为什么能自我调整,"['机器', '自我', '调整']",机器 自我 调整,negative,0.5769018530845642
大一什么都听不懂,"['大一', '听不懂']",大一 听不懂,negative,0.8332586288452148
宇宙大爆炸,"['宇宙', '爆炸']",宇宙 爆炸,positive,0.9329876899719238
这是概率,"['这是', '概率']",这是 概率,negative,0.5900323987007141
为什么我听不懂,['听不懂'],听不懂,negative,0.8541914820671082
为什么我听不到l,['不到'],不到,negative,0.8822028040885925
中文配音,"['中文', '配音']",中文 配音,positive,0.9394568204879761
七天憋出六个字,"['七天', '六个']",七天 六个,negative,0.9242252111434937
当场就史啦,"['当场', '就史']",当场 就史,negative,0.7262811064720154
维纳白化,"['维纳', '白化']",维纳 白化,positive,0.7663103938102722
赛博黄磊,"['赛博', '黄磊']",赛博 黄磊,positive,0.9514355063438416
那为什么当时想不到呢？,"['当时', '想不到']",当时 想不到,positive,0.591606855392456
能用来去马赛克,"['用来', '马赛克']",用来 马赛克,positive,0.9402121901512146
不是看西瓜我不是很满意,"['不是', '西瓜', '不是', '满意']",不是 西瓜 不是 满意,negative,0.7705718278884888
这个理解应该还是只是高概率。并非真正意义上的理解。但是又绕回来了，我们人类的理解，是真正的懂了吗？考试考100分，就算是完全正确的理解了吗,"['理解', '应该', '概率', '并非', '真正', '意义', '理解', '回来', '人类', '理解', '真正', '考试', '就算', '完全正确', '理解']",理解 应该 概率 并非 真正 意义 理解 回来 人类 理解 真正 考试 就算 完全正确 理解,positive,0.6675081849098206
那大模型什么时候能写作诗词呢，如果是这样那就很难了吧。,"['那大', '模型', '写作', '诗词']",那大 模型 写作 诗词,positive,0.7148969769477844
应该继续寻找逻辑主义的价值，不然就太笨了。,"['应该', '继续', '寻找', '逻辑', '主义', '价值', '太笨']",应该 继续 寻找 逻辑 主义 价值 太笨,positive,0.9042420387268066
听到坐就要挨打,"['听到', '就要', '挨打']",听到 就要 挨打,negative,0.9324995279312134
超市现在都是这种自动识别称,"['超市', '现在', '这种', '自动识别']",超市 现在 这种 自动识别,positive,0.8219311833381653
和专家系统有什么区别呢？都是判断,"['专家系统', '区别', '判断']",专家系统 区别 判断,positive,0.5775655508041382
还得练，小子,['小子'],小子,positive,0.9324866533279419
算力决定,"['算力', '决定']",算力 决定,positive,0.6456659436225891
神经网络：停机问题无解,"['神经网络', '停机问题']",神经网络 停机问题,positive,0.6737582683563232
前面那个中南的别走,"['前面', '中南']",前面 中南,negative,0.5767229795455933
延时摄影,"['延时', '摄影']",延时 摄影,positive,0.9191305041313171
一本正经的胡说八道,"['一本正经', '胡说八道']",一本正经 胡说八道,positive,0.7527313828468323
不考虑伦理，把全人类的文字信息，包括聊天记录和视频转的音频再转的文字都喂进去，会怎样呢,"['考虑', '伦理', '全人类', '文字', '信息', '包括', '聊天记录', '视频', '音频', '文字', '进去']",考虑 伦理 全人类 文字 信息 包括 聊天记录 视频 音频 文字 进去,negative,0.8226590156555176
就是大道至简的那个道，但道之外还有偶然,"['大道至简', '之外', '偶然']",大道至简 之外 偶然,positive,0.9266862869262695
因为up讲得眉飞色舞（感觉），所以我听不懂也津津有味,"['up', '讲得', '眉飞色舞', '感觉', '听不懂', '津津有味']",up 讲得 眉飞色舞 感觉 听不懂 津津有味,positive,0.8340224623680115
有反馈就可以吧,['反馈'],反馈,positive,0.6193021535873413
本质还是没意识，只是统计加概率。,"['本质', '意识', '统计', '概率']",本质 意识 统计 概率,positive,0.7086191177368164
那本质还是没有意识，只是算概率。,"['本质', '没有', '意识', '概率']",本质 没有 意识 概率,positive,0.8419316411018372
明白啦，这就是追涨杀跌,"['明白', '追涨杀跌']",明白 追涨杀跌,positive,0.9262428283691406
衡量是否人工智能，一个简单是标准就是是否能区分出一个行为是人为还是机器行为。,"['衡量', '是否', '人工智能', '简单', '标准', '是否', '区分', '行为', '人为', '机器', '行为']",衡量 是否 人工智能 简单 标准 是否 区分 行为 人为 机器 行为,positive,0.9613699913024902
初中基本知识太简单了,"['初中', '基本知识', '简单']",初中 基本知识 简单,negative,0.5837609171867371
就是求导的那个链式法则,"['求导', '链式法则']",求导 链式法则,positive,0.8465352058410645
机械学习这就来了,['机械学习'],机械学习,positive,0.917396068572998
激活函数：嗨嗨嗨,"['激活', '函数']",激活 函数,positive,0.6527349948883057
有！transformer is all you need!,"['transformer', 'is', 'all', 'you', 'need']",transformer is all you need,positive,0.7191784381866455
今年的诺贝尔物理奖,"['今年', '诺贝尔', '物理奖']",今年 诺贝尔 物理奖,positive,0.9884814023971558
这个好像是样本数据,"['好像', '样本', '数据']",好像 样本 数据,positive,0.5242667198181152
我再说的话题目前面前,"['话题', '目前', '面前']",话题 目前 面前,positive,0.6431429982185364
我们的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话说的话,[],,positive,0.6692888140678406
过度拟合,"['过度', '拟合']",过度 拟合,positive,0.6634127497673035
问信息是什么的，信息课天天被占吧。,"['信息', '信息', '天天']",信息 信息 天天,negative,0.7378570437431335
有没有人正在看,"['有没有', '正在']",有没有 正在,positive,0.8972245454788208
这是b站还得练,['这是'],这是,negative,0.5484565496444702
A股是吧,['A股'],A股,negative,0.5084953904151917
没解决过说明你从事的活用不到罢了,"['解决', '说明', '从事', '活用', '不到']",解决 说明 从事 活用 不到,negative,0.8291524052619934
传动比，虚速度,"['传动比', '速度']",传动比 速度,negative,0.8056951761245728
深度学习,"['深度', '学习']",深度 学习,positive,0.9813072681427002
看未来总比看过去清晰,"['未来', '总比', '过去', '清晰']",未来 总比 过去 清晰,positive,0.9860825538635254
3b1b讲过↑,"['3b1b', '讲过']",3b1b 讲过,positive,0.8880485892295837
你看你又这样的话说话说话说话说话说话说话说话说话说话说话说话说,"['这样的话', '说话', '说话', '说话', '说话', '说话', '说话', '说话', '说话', '说话', '说话', '说话']",这样的话 说话 说话 说话 说话 说话 说话 说话 说话 说话 说话 说话,positive,0.6510424613952637
邻域内有定义且单调？,"['邻域', '内有', '定义', '单调']",邻域 内有 定义 单调,negative,0.7521981000900269
在邻域内有定义,"['邻域', '内有', '定义']",邻域 内有 定义,positive,0.8381514549255371
直接跳（）,['直接'],直接,negative,0.9426273107528687
因为梯度方向是函数值增加最快方向,"['梯度方向', '函数', '增加', '最快', '方向']",梯度方向 函数 增加 最快 方向,positive,0.9664263725280762
所以转化成泛函取极小值问题？,"['转化成', '泛函取', '极小值', '问题']",转化成 泛函取 极小值 问题,negative,0.6818467974662781
泛函极值,"['泛函', '极值']",泛函 极值,positive,0.9773042798042297
今天才知道梯度是什么鬼。。。。,"['今天', '知道', '梯度']",今天 知道 梯度,negative,0.5902471542358398
太牛了up,"['太牛', 'up']",太牛 up,positive,0.9761315584182739
套娃的本质是递归，递归的本质是轮回，老祖宗的智慧啊（,"['套娃', '本质', '递归', '递归', '本质', '轮回', '老祖宗', '智慧']",套娃 本质 递归 递归 本质 轮回 老祖宗 智慧,positive,0.9134822487831116
现在的所谓人工智能何尝不是呢？,"['现在', '所谓', '人工智能', '何尝', '不是']",现在 所谓 人工智能 何尝 不是,positive,0.6159706115722656
也就是开始吹牛逼？,['吹牛'],吹牛,negative,0.8259379863739014
加中间层,['中间层'],中间层,positive,0.6425569653511047
线下你牛，但你知道的，这里B站，所以。。。。。,"['线下', '知道']",线下 知道,negative,0.5491452813148499
my little pony笑死我了救命,"['my', 'little', 'pony', '救命']",my little pony 救命,positive,0.8019300103187561
奖励机器？没有意识怎么奖励,"['奖励', '机器', '没有', '意识', '奖励']",奖励 机器 没有 意识 奖励,negative,0.6251093149185181
f(x),[],,positive,0.5621475577354431
图片里的葡萄是紫色的，表格里的葡萄是绿色的,"['图片', '葡萄', '紫色', '表格', '葡萄', '绿色']",图片 葡萄 紫色 表格 葡萄 绿色,negative,0.6117059588432312
掩耳盗铃儿响叮当仁不让,"['掩耳盗铃', '儿响', '当仁不让']",掩耳盗铃 儿响 当仁不让,negative,0.6659117937088013
感性经验,"['感性', '经验']",感性 经验,positive,0.9722033739089966
Trie树！,['Trie'],Trie,positive,0.6730804443359375
算力最后还是电力,"['算力', '最后', '电力']",算力 最后 电力,negative,0.5494368076324463
恍然大悟,['恍然大悟'],恍然大悟,positive,0.9726991653442383
新闻发出后股价怎么变,"['新闻', '发出', '股价']",新闻 发出 股价,positive,0.580062747001648
AlphaGo 自己对决自己，的结果是什么。左右互博各有50 ％胜率，还是先手必胜？,"['AlphaGo', '对决', '左右', '互博', '各有', '胜率', '必胜']",AlphaGo 对决 左右 互博 各有 胜率 必胜,positive,0.6865811944007874
搞数学的都是极聪明且极有毅力的,"['数学', '聪明', '毅力']",数学 聪明 毅力,positive,0.9887720942497253
泰勒级数,"['泰勒', '级数']",泰勒 级数,positive,0.8654255270957947
三分求最低点？,"['三分', '最低点']",三分 最低点,negative,0.754427969455719
但是实际上也不会太远，基本上你问他十句话，他头一句就记不住了,"['实际上', '不会', '太远', '基本上', '十句话', '他头', '一句', '记不住']",实际上 不会 太远 基本上 十句话 他头 一句 记不住,positive,0.6439850330352783
双料得主的背后是诺贝尔的男默女泪,"['双料', '得主', '背后', '诺贝尔', '男默', '女泪']",双料 得主 背后 诺贝尔 男默 女泪,positive,0.9160336852073669
数据存储吧，天量的数据记忆需求,"['数据', '存储', '天量', '数据', '记忆', '需求']",数据 存储 天量 数据 记忆 需求,positive,0.9663596749305725
好吧 属实听不懂,"['属实', '听不懂']",属实 听不懂,negative,0.5857499241828918
sora开放试用了吗,"['sora', '开放', '试用']",sora 开放 试用,positive,0.5776005387306213
然而人类语言沟通是80亿对象互相连结的，只算20亿网民（2011）那也是PT级的，之间的跨度真的是不过拟合可以跨越的吗,"['人类', '语言', '沟通', '对象', '互相', '连结', '只算', '网民', 'PT', '之间', '跨度', '真的', '拟合', '跨越']",人类 语言 沟通 对象 互相 连结 只算 网民 PT 之间 跨度 真的 拟合 跨越,positive,0.7089827060699463
语言模型仅仅几年就把人类全部文本学完了，已经开始过拟合了，还是没有任何通用语音模型，以后怎么办,"['语言', '模型', '仅仅', '几年', '人类', '全部', '文本', '学完', '已经', '拟合', '没有', '通用', '语音', '模型', '以后']",语言 模型 仅仅 几年 人类 全部 文本 学完 已经 拟合 没有 通用 语音 模型 以后,negative,0.7285246849060059
别刷听不懂了，太影响观感，你听不懂不去查资料，只知道发一句那活该你听不懂,"['别刷', '听不懂', '影响', '观感', '听不懂', '不去', '查资料', '知道', '一句', '活该', '听不懂']",别刷 听不懂 影响 观感 听不懂 不去 查资料 知道 一句 活该 听不懂,negative,0.9737279415130615
这个加得很合适,"['加得', '合适']",加得 合适,positive,0.9271942973136902
谢谢你学个新单词,"['谢谢', '学个', '单词']",谢谢 学个 单词,positive,0.9682062864303589
是的呢。谢谢老师们辛苦了！你们的事情多少？还是你厉害的你们的事，谢谢了！,"['谢谢', '老师', '辛苦', '事情', '厉害', '谢谢']",谢谢 老师 辛苦 事情 厉害 谢谢,positive,0.5967784523963928
点歌机会，我们班的？我？我？我？我们班的？我？我？,['点歌机'],点歌机,negative,0.5180267691612244
他们说的话，我们班的人，,[],,positive,0.7923343777656555
路径压缩，并查集，剪枝应该可以试试,"['路径', '压缩', '查集', '剪枝', '应该', '试试']",路径 压缩 查集 剪枝 应该 试试,positive,0.972970724105835
果断投币,"['果断', '投币']",果断 投币,negative,0.7203769087791443
人工智能的哲学性？？？量变引起质变,"['人工智能', '哲学', '量变', '引起', '质变']",人工智能 哲学 量变 引起 质变,positive,0.9064924716949463
通过多钟样例的对比来发现特点,"['多钟', '样例', '对比', '发现', '特点']",多钟 样例 对比 发现 特点,positive,0.9645730257034302
定义一个变量来表示这个值应该就可以了吧,"['定义', '变量', '表示', '应该']",定义 变量 表示 应该,positive,0.9423686861991882
模拟退火（,['模拟退火'],模拟退火,positive,0.8422399759292603
伪随机 拉普拉斯妖,"['随机', '拉普拉斯']",随机 拉普拉斯,positive,0.634161114692688
教育的本质，就是这样的，教育人，和训狗，训AI。Oh，天，简直了。,"['教育', '本质', '教育', '训狗', 'AI', 'Oh', '简直']",教育 本质 教育 训狗 AI Oh 简直,positive,0.9312562346458435
这个视频还有背景乐？,"['视频', '背景']",视频 背景,negative,0.6641852855682373
喷不了一点，这是真形象,"['不了', '一点', '形象']",不了 一点 形象,negative,0.531669557094574
针眼画师？,"['针眼', '画师']",针眼 画师,negative,0.8618940711021423
我在一段时间内，文章里面都有,"['一段时间', '文章', '里面']",一段时间 文章 里面,negative,0.595111608505249
你啥都看得见地产你的课是几点,"['看得见', '地产', '几点']",看得见 地产 几点,positive,0.5477113127708435
啊梅紫英啊,['梅紫英'],梅紫英,positive,0.6785305738449097
笑死，我以前学的计算方法真的很有用啊,"['以前', '计算方法', '真的', '有用']",以前 计算方法 真的 有用,positive,0.9363608956336975
除非参数交给你自己自动设计，不然都靠人为可不自主,"['参数', '交给', '自动', '设计', '人为', '可不', '自主']",参数 交给 自动 设计 人为 可不 自主,negative,0.6910459399223328
总是一步一步的嘛，每一步都可以由数学来实现（）,"['总是', '一步', '一步', '一步', '数学', '实现']",总是 一步 一步 一步 数学 实现,positive,0.9030405282974243
诶呦、诶呦、诶呦,[],,positive,0.7553656697273254
梦回小狗图片,"['梦回', '小狗', '图片']",梦回 小狗 图片,positive,0.91486656665802
注意啊朋友们，这里已经由个例到范例了,"['注意', '朋友', '已经', '个例', '范例']",注意 朋友 已经 个例 范例,positive,0.6313508152961731
我勒个UE蓝图,"['我勒个', 'UE', '蓝图']",我勒个 UE 蓝图,negative,0.7782037854194641
我的感知机为什么要实现抑或运算，只需要粗粒度的分类就好了啊,"['感知机', '实现', '运算', '需要', '粗粒度', '分类']",感知机 实现 运算 需要 粗粒度 分类,positive,0.8876721858978271
ok，学习exgcd吧（oier狂喜,"['ok', '学习', 'exgcd', 'oier', '狂喜']",ok 学习 exgcd oier 狂喜,positive,0.9889014959335327
@王者荣耀,"['王者', '荣耀']",王者 荣耀,positive,0.8676853775978088
完了，手自动就打开2倍速了,"['自动', '打开', '倍速']",自动 打开 倍速,negative,0.8943136930465698
人们（✗），媒体（✓）,"['人们', '媒体']",人们 媒体,positive,0.7131962776184082
方神教！,['神教'],神教,positive,0.969309389591217
我也被训练了,['训练'],训练,positive,0.7047935128211975
机器咋来的学习能力,"['机器', '学习', '能力']",机器 学习 能力,negative,0.8266872763633728
印斯茅斯(不是),"['印斯茅斯', '不是']",印斯茅斯 不是,positive,0.5780543684959412
顶尖科学家也没法理解神经网络的内部运作，我也没法理解我写的bug为什么可以运行,"['顶尖', '科学家', '没法', '理解', '神经网络', '内部', '运作', '没法', '理解', 'bug', '运行']",顶尖 科学家 没法 理解 神经网络 内部 运作 没法 理解 bug 运行,positive,0.5996456146240234
再用拟合函数去拟合这个损失函数,"['再用', '拟合', '函数', '拟合', '损失', '函数']",再用 拟合 函数 拟合 损失 函数,positive,0.9851875305175781
也理解了人工智能导致全球变暖,"['理解', '人工智能', '导致', '全球', '变暖']",理解 人工智能 导致 全球 变暖,positive,0.9819138646125793
老头滚动轴,"['老头', '滚动']",老头 滚动,positive,0.7499974966049194
激活函数哪去了,"['激活', '函数', '哪去']",激活 函数 哪去,negative,0.8884762525558472
把乌龟的结果反向传递到输入端产生一个噪声，然后叠加上去,"['乌龟', '反向', '传递', '输入', '产生', '噪声', '叠加', '上去']",乌龟 反向 传递 输入 产生 噪声 叠加 上去,negative,0.7957352995872498
的确一知半解。,"['的确', '一知半解']",的确 一知半解,negative,0.5626389980316162
我们这边的人了，,[],,positive,0.6724554300308228
反向传播,"['反向', '传播']",反向 传播,positive,0.5131223797798157
请注意下方进度条,"['注意', '下方', '进度条']",注意 下方 进度条,positive,0.5887742042541504
动态规划吗？,"['动态', '规划']",动态 规划,positive,0.5032818913459778
那就是会让我们更加卷,['更加'],更加,positive,0.9651105999946594
features,['features'],features,positive,0.9628045558929443
想像一下 當訓練資料全是免洗的網路小說時,"['想像', '一下', '當訓練', '資料', '全是', '免洗', '網路']",想像 一下 當訓練 資料 全是 免洗 網路,negative,0.5382412672042847
我的朋友們都在看我的朋友,"['朋友', '朋友']",朋友 朋友,positive,0.8679569959640503
不是什么学阀，确实是一个现实的问题啊,"['不是', '学阀', '确实', '现实', '问题']",不是 学阀 确实 现实 问题,positive,0.8593344688415527
哈哈！我不想听！,['不想'],不想,negative,0.8250299692153931
可能有人忘了，这里指的就是高中的复合函数，高中只学习两个函数的复合,"['可能', '有人', '高中', '复合', '函数', '高中', '学习', '两个', '函数', '复合']",可能 有人 高中 复合 函数 高中 学习 两个 函数 复合,positive,0.9410417675971985
我也是啊是啊是啊是啊,[],,positive,0.6066109538078308
我们的确是一个人的生活方式的时候我也是很喜欢的人和人之间的关系都会很好看了吧,"['的确', '生活', '方式', '喜欢', '之间', '关系', '好看']",的确 生活 方式 喜欢 之间 关系 好看,positive,0.978091299533844
没事，已经学过了,"['没事', '已经', '学过']",没事 已经 学过,positive,0.9763304591178894
是MNIST,['MNIST'],MNIST,negative,0.5744596719741821
现在的深度学习以及神经网络还不具备可解释性,"['现在', '深度', '学习', '神经网络', '具备', '解释性']",现在 深度 学习 神经网络 具备 解释性,positive,0.7310296297073364
这损失函数说的是不是代价函数？,"['损失', '函数', '是不是', '代价', '函数']",损失 函数 是不是 代价 函数,negative,0.6355210542678833
我想到了识别商品二维码,"['想到', '识别', '商品', '二维码']",想到 识别 商品 二维码,negative,0.8566603064537048
这位真的是重量级,"['这位', '真的', '重量级']",这位 真的 重量级,positive,0.848828911781311
这个和机器学习还是有一些区别的吧,"['机器', '学习', '区别']",机器 学习 区别,positive,0.9200049638748169
应该还有衡量是否需要5次方避免过度拟合,"['应该', '衡量', '是否', '需要', '次方', '避免', '过度', '拟合']",应该 衡量 是否 需要 次方 避免 过度 拟合,positive,0.7939901351928711
残差分析,"['残差', '分析']",残差 分析,negative,0.8932067155838013
最近正在学这个,"['最近', '正在']",最近 正在,positive,0.9830142259597778
这和学阀可没关系，资源永远是有限的，你要是连别人的问题都回答不了，就不能阻止别人否定,"['学阀', '没关系', '资源', '永远', '有限', '别人', '问题', '回答', '不了', '不能', '阻止', '别人', '否定']",学阀 没关系 资源 永远 有限 别人 问题 回答 不了 不能 阻止 别人 否定,negative,0.7875925898551941
all in,"['all', 'in']",all in,positive,0.9172385334968567
黄仁勋狂喜,"['黄仁勋', '狂喜']",黄仁勋 狂喜,positive,0.9912093877792358
3dgs,['3dgs'],3dgs,positive,0.9103565812110901
我是一个人的人生态度和态度混为一谈,"['人生态度', '态度', '混为一谈']",人生态度 态度 混为一谈,positive,0.6451692581176758
这个螺丝钉的长度会直接影响到挖掘机的扭矩,"['螺丝钉', '长度', '直接', '影响', '挖掘机', '扭矩']",螺丝钉 长度 直接 影响 挖掘机 扭矩,negative,0.5786527395248413
希尔伯特空间,"['希尔伯特', '空间']",希尔伯特 空间,positive,0.945199728012085
记得几年前谷歌的翻译走的也是统计学模型做的，吊打其他机翻,"['记得', '几年', '前谷歌', '翻译', '统计学', '模型', '吊打', '机翻']",记得 几年 前谷歌 翻译 统计学 模型 吊打 机翻,positive,0.6713864207267761
人不也要中邪吗，比如深井冰,"['中邪', '深井']",中邪 深井,positive,0.8043356537818909
长度感人,"['长度', '感人']",长度 感人,negative,0.6057012677192688
"倒装句,阴阳怪气，它行吗？","['倒装句', '阴阳怪气', '它行']",倒装句 阴阳怪气 它行,negative,0.9347280859947205
所以神经网络会不会阴阳怪气,"['神经网络', '不会', '阴阳怪气']",神经网络 不会 阴阳怪气,positive,0.7779899835586548
学机械的里面没讲过这啊,"['机械', '里面']",机械 里面,negative,0.509619414806366
还是底层结构不够拟人化,"['底层', '结构', '不够', '拟人化']",底层 结构 不够 拟人化,positive,0.7220586538314819
我们的歌谣祭祀,"['歌谣', '祭祀']",歌谣 祭祀,positive,0.965560793876648
“每当我解雇一个语言学家，语音识别的性能就会上升。”,"['解雇', '语言学家', '语音', '识别', '性能', '上升']",解雇 语言学家 语音 识别 性能 上升,positive,0.9286173582077026
想起了大学学的复变函数与积分变换这门课程,"['想起', '大学', '复变', '函数', '积分', '变换', '这门', '课程']",想起 大学 复变 函数 积分 变换 这门 课程,positive,0.9889551997184753
于是就有了人类的力大砖飞[doge],"['人类', '力大砖', 'doge']",人类 力大砖 doge,positive,0.8625578284263611
不应该用partial吧,"['应该', 'partial']",应该 partial,negative,0.674006998538971
gradient,['gradient'],gradient,positive,0.9445964694023132
局部极小值,"['局部', '极小值']",局部 极小值,positive,0.8379652500152588
经典梯度下降,"['经典', '梯度', '下降']",经典 梯度 下降,positive,0.8414601683616638
印斯茅斯,['印斯茅斯'],印斯茅斯,positive,0.9461618065834045
我可没问哈,['问哈'],问哈,positive,0.6736350059509277
“它”换成“她”那么就填“美”了【doge】,"['换成', 'doge']",换成 doge,positive,0.6349828243255615
离散数学,['离散数学'],离散数学,positive,0.9085812568664551
我们没有课了吗？,['没有'],没有,positive,0.6808542013168335
打开了新世界,"['打开', '新世界']",打开 新世界,positive,0.9888427257537842
泛化本质上还是函数,"['泛化', '本质', '函数']",泛化 本质 函数,positive,0.8387009501457214
Chomsky,['Chomsky'],Chomsky,positive,0.8411532044410706
语素是morpheme,"['语素', 'morpheme']",语素 morpheme,positive,0.8015969395637512
呜呜呜讲的好好，史论结合还有知识性,"['呜呜', '好好', '史论', '结合', '知识性']",呜呜 好好 史论 结合 知识性,positive,0.9744299054145813
你这是做了一部电影吗,"['一部', '电影']",一部 电影,positive,0.5066450834274292
独立同分布假设,"['独立', '分布', '假设']",独立 分布 假设,positive,0.5646817088127136
换个角度讲，有没有可能是我们人类认知太低呢，但又不合理，因为是我们提供的认知,"['换个', '角度', '有没有', '可能', '人类', '认知', '太低', '不合理', '提供', '认知']",换个 角度 有没有 可能 人类 认知 太低 不合理 提供 认知,positive,0.8986168503761292
这是偏导吧,"['这是', '偏导']",这是 偏导,negative,0.6596539616584778
Artificial Idiot,"['Artificial', 'Idiot']",Artificial Idiot,positive,0.9216797351837158
要下课了同学们，憋睡了~,"['下课', '同学']",下课 同学,positive,0.7939968109130859
决策函数,['决策函数'],决策函数,positive,0.9602714776992798
你只要调整一下系数不就可以让两个区域重叠了嘛,"['调整', '一下', '系数', '两个', '区域', '重叠']",调整 一下 系数 两个 区域 重叠,negative,0.5750065445899963
学不懂的数值分析,"['学不懂', '数值', '分析']",学不懂 数值 分析,negative,0.5864384770393372
他好像会把你说的话当成是条件来进行预测，哪怕你说的是错的,"['好像', '当成', '条件', '进行', '预测']",好像 当成 条件 进行 预测,positive,0.5755487680435181
讲的太通透了,['通透'],通透,positive,0.5634714365005493
bad smell,"['bad', 'smell']",bad smell,negative,0.9323648810386658
玛卡巴卡晚安,"['卡巴', '晚安']",卡巴 晚安,positive,0.7043264508247375
考研数一刚学的多元函数方向导数与梯度这就派上用场了,"['考研', '数一', '刚学', '多元', '函数', '方向', '导数', '梯度', '派上用场']",考研 数一 刚学 多元 函数 方向 导数 梯度 派上用场,positive,0.9913170337677002
此时，学了一个月人工智能的表示，这讲得真好,"['此时', '学了', '一个月', '人工智能', '表示']",此时 学了 一个月 人工智能 表示,positive,0.9014161825180054
